created_at,numbers
2026-08-01 16:25:04,"11,16,20,23,29,44"
2026-08-01 16:25:04,"11,20,26,28,35,43"
2026-08-01 16:25:04,"12,19,20,21,25,34"
2026-08-01 16:25:04,"11,16,33,39,41,44"
2026-08-01 16:25:04,"1,10,16,28,37,41"
2026-08-01 16:29:15,"10,19,23,24,27,45"
2026-08-01 16:29:15,"12,19,21,24,27,36"
2026-08-01 16:29:15,"6,19,20,21,32,34"
2026-08-01 16:29:15,"2,4,16,20,35,37"
2026-08-01 16:29:15,"8,19,21,30,34,38"
2026-08-01 16:44:06,"12,19,26,30,39,43"
2026-08-01 16:44:06,"7,12,19,23,25,28"
2026-08-01 16:44:06,"12,19,21,24,34,36"
2026-08-01 16:44:06,"2,4,11,25,37,39"
2026-08-01 17:04:21,"6,21,30,35,37,39"
2026-08-01 17:04:21,"12,20,23,29,33,44"
2026-08-01 17:04:21,"8,16,19,21,36,44"
2026-08-01 17:04:21,"1,2,6,11,26,28"
2026-08-01 17:04:21,"6,10,16,19,25,38"
2026-08-03 04:59:03,"17,20,27,36,39,45"
2026-08-03 04:59:03,"2,4,11,17,26,44"
2026-08-03 04:59:03,"1,7,12,24,27,45"
2026-08-03 04:59:03,"1,12,17,28,34,43"
2026-08-03 04:59:03,"7,11,12,17,33,44"
2026-08-03 05:13:52,"11,19,21,30,34,45"
2026-08-03 05:13:52,"6,7,12,30,38,43"
2026-08-03 05:13:52,"6,19,21,36,39,41"
2026-08-03 05:13:52,"11,22,24,30,39,44"
2026-08-03 05:13:52,"10,16,19,23,27,35"
2026-08-03 05:16:14,"7,19,21,30,34,45"
2026-08-03 05:16:14,"12,19,21,36,41,45"
2026-08-03 05:16:14,"12,17,30,39,43,45"
2026-08-03 05:16:14,"4,16,23,29,41,44"
2026-08-03 05:16:14,"1,4,10,16,38,41"
2026-08-03 05:18:20,"11,16,25,36,39,44"
2026-08-03 05:18:20,"4,7,19,26,27,30"
2026-08-03 05:18:20,"4,7,12,33,39,41"
2026-08-03 05:18:20,"11,16,19,21,26,28"
2026-08-03 05:18:20,"17,19,20,30,35,45"
